Word	Katakana	Emotion	
気が揉める	キガモメル	心	
気が緩む	キガユルム	安	
気が楽	キガラク	安	
気軽	キガル	親	
気軽い	キガルイ	親	
嬉嬉	キキ	幸喜楽	
聞き苦しい	キキグルシイ	困Ｆ	
聞き捨てならない	キキズテナラナイ	不Ｆ	
聞き辛い	キキズライ	困Ｆ	
聞きにくい	キキニクイ	困	
危懼	キク	ふ	
危惧	キグ	ふ	
気苦労	キグロウ	辛苦	
危険	キケン	ふ	
機嫌好い	キゲンヨイ	幸	
きざっぽい	キザッポイ	嫌Ｆ	
気障り	キザワリ	嫌Ｆ	
キショい	キショイ	嫌Ｆ	
喜色	キショク	喜	
気色が悪い	キショクガワルイ	嫌Ｆ	
気色を害する	キショクヲガイスル	Ｆ	
気色を悪くする	キショクヲワルクスル	Ｆ	
傷痕	キズアト	辛切誇	
気遣い	キズカイ	心	
気遣う	キズカウ	心	
気遣わしい	キズカワシイ	心	
傷付く	キズツク	辛	
気忙しい	キゼワシイ	ふ	
気忙しさ	キゼワシサ	ふ	
汚い	キタナイ	嫌Ｆ	
汚らしい	キタナラシイ	嫌Ｆ	
狐に撮まれたよう	キツネニツママレタヨウ	驚	
気詰まり	キヅマリ	き	
気に入る	キニイル	好	
気に食わない	キニクワナイ	嫌Ｆ	
気に障る	キニサワル	嫌Ｆ	
気になる	キニナル	困	
気に入らない	キニハイラナイ	嫌	
気に病む	キニヤム	心悩	
気抜け	キヌケ	穏	
気の毒	キノドク	心	
気恥ずかしい	キハズカシイ	恥き	
気恥ずかしさ	キハズカシサ	恥き	
厳しい	キビシイ	辛	
気塞ぎ	キフサギ	鬱	
気分が和む	キブンガナゴム	安	
気分が弾む	キブンガハズム	幸喜	
気まずい	キマズイ	き	
気まずさ	キマズサ	き	
きまりが悪い	キマリガワルイ	恥き	
気味が悪い	キミガワルイ	怖Ｆ	
気味悪い	キミワルイ	怖Ｆ	
気味悪さ	キミワルサ	怖Ｆ	
気持ちいい	キモチイイ	気	
気持ちが傷付けられる	キモチガキズツケラレル	辛	
気持ちが沈む	キモチガシズム	悲	
気持ちが和む	キモチガナゴム	安	
気持ちが晴れる	キモチガハレル	気	
気持ちが晴れ渡る	キモチガハレワタル	幸気	
気持ちが好い	キモチガヨイ	喜気幸	
気持ちが悪くなる	キモチガワルクナル	Ｆ	
気持ちの好いものではない	キモチノヨイモノデワナイ	嫌Ｆ	
気持ちよい	キモチヨイ	気	
気持ち良い	キモチヨイ	気	
気持ち悪い	キモチワルイ	Ｆ	
肝を潰す	キモヲツブス	驚	
肝を冷やす	キモヲヒヤス	怖驚	
きゃあ	キャア	驚怖	
キャッ	キャッ	驚怖	
気安い	キヤスイ	安親	
窮屈	キュウクツ	辛	
窮する	キュウスル	苦	
杞憂	キユウ	心鬱	
驚異	キョウイ	驚	
恐悦	キョウエツ	喜感	
恭賀	キョウガ	祝	
驚愕	キョウガク	驚	
驚懼	キョウガク	驚怖	
興が醒める	キョウガサメル	失Ｆ	
興がる	キョウガル	楽	
狂喜	キョウキ	喜	
驚喜	キョウキ	喜	
恟恟	キョウキョウ	怖	
恐懼	キョウク	恐	
恐慌	キョウコウ	怖焦	
興醒め	キョウザメ	失不	
興趣	キョウシュ	楽	
郷愁	キョウシュウ	切苦寂	
恐縮	キョウシュク	怖恐	
興じる	キョウジル	楽	
驚嘆	キョウタン	驚尊	
驚天動地	キョウテンドウチ	驚	
驚倒	キョウトウ	驚	
恐怖	キョウフ	怖	
驚怖	キョウフ	怖驚	
恐怖感	キョウフカン	怖	
凶暴	キョウボウ	怖	
興味深い	キョウミブカイ	願	
享楽	キョウラク	幸楽気	
狂恋	キョウレン	興切苦願	
虚心坦懐	キョシンタンカイ	穏	
虚脱感	キョダツカン	鬱失	
きょときょと	キョトキョト	ふ	
きょとんとする	キョトントスル	穏	
虚無	キョム	穏	
嫌い	キライ	嫌	
嫌う	キラウ	嫌	
気楽	キラク	安楽	
気を腐らせる	キヲクサラセル	嫌不	
気を呑まれる	キヲノマレル	恐	
欣快	キンカイ	気喜	
欣喜	キンキ	喜	
欣喜雀躍	キンキジャクヤク	喜	
欣欣	キンキン	喜	
欣幸	キンコウ	喜幸	
欣然	キンゼン	喜楽	
緊張	キンチョウ	緊	
緊張感	キンチョウカン	緊	
緊張がほどける	キンチョウガホドケル	安	
緊迫	キンパク	緊	
欣慕	キンボ	喜尊	
欣躍	キンヤク	喜	
疑懼	ギク	怖	
ぎくっ	ギクッ	驚	
ぎくり	ギクリ	驚	
ぎっくり	ギックリ	驚	
義憤	ギフン	怒Ｆ	
ぎゃあ	ギャア	驚苦	
逆上	ギャクジョウ	怒興	
仰天	ギョウテン	驚	
御慶	ギョケイ	祝	
ぎょっとする	ギョットスル	驚	
苦	ク	苦	
悔い	クイ	悔	
悔いる	クイル	悔残	
空虚	クウキョ	穏	
臭い	クサイ	嫌Ｆ	
腐る	クサル	鬱	
くしゃくしゃな顔	クシャクシャナカオ	悲	
苦笑	クショウ	不Ｆ	
苦渋	クジュウ	苦辛	
くすくす	クスクス	楽	
くすぐったい	クスグッタイ	恥	
くだらない	クダラナイ	あ見情	
口煩い	クチウルサイ	嫌Ｆ	
口惜しい	クチオシイ	悔	
くちぎたない	クチギタナイ	嫌Ｆ	
唇を噛む	クチビルオカム	悔不	
くちやかましい	クチヤカマシイ	嫌Ｆ	
苦衷	クチュウ	苦辛	
喰って掛かる	クッテカカル	興	
苦痛	クツウ	苦辛痛	
屈辱	クツジョク	恥辛	
屈辱感	クツジョクカン	恥辛	
寛ぎ	クツロギ	安	
寛ぐ	クツログ	安	
寛げる	クツロゲル	安	
くどい	クドイ	嫌Ｆ	
苦悩	クノウ	悩苦	
首っ丈	クビッタケ	興楽親	
