Word	Katakana	Emotion	
傷痕	キズアト	辛苦	
気遣い	キズカイ	尊怖	
気遣う	キズカウ	尊心	
気遣わしい	キズカワシイ	ふ心	
傷付く	キズツク	苦悲切	
気忙しい	キゼワシイ	焦	
気忙しさ	キゼワシサ	焦	
汚い	キタナイ	Ｆ不嫌	
汚らしい	キタナラシイ	不嫌	
狐に撮まれたよう	キツネニツママレタヨウ	驚	
気詰まり	キヅマリ	苦	
気に入る	キニイル	好幸	
気に食わない	キニクワナイ	不嫌	
気に障る	キニサワル	怒不Ｆ	
気になる	キニナル	好	
気に入らない	キニハイラナイ	不嫌	
気に病む	キニヤム	鬱心悩	
気抜け	キヌケ	怠	
気の毒	キノドク	憐	
気恥ずかしい	キハズカシイ	恥	
気恥ずかしさ	キハズカシサ	恥	
厳しい	キビシイ	苦辛	
気塞ぎ	キフサギ	鬱怠	
気分が和む	キブンガナゴム	穏安	
気分が弾む	キブンガハズム	楽	
気まずい	キマズイ	き	
気まずさ	キマズサ	き	
きまりが悪い	キマリガワルイ	恥	
気味が悪い	キミガワルイ	不嫌	
気味悪い	キミワルイ	不嫌	
気味悪さ	キミワルサ	不嫌	
気持ちいい	キモチイイ	気	
気持ちが傷付けられる	キモチガキズツケラレル	悲苦辛	
気持ちが沈む	キモチガシズム	鬱怠	
気持ちが和む	キモチガナゴム	安	
気持ちが晴れる	キモチガハレル	気	
気持ちが晴れ渡る	キモチガハレワタル	気	
気持ちが好い	キモチガヨイ	気	
気持ちが悪くなる	キモチガワルクナル	辛苦	
気持ちの好いものではない	キモチノヨイモノデワナイ	不嫌	
気持ちよい	キモチヨイ	気	
気持ち良い	キモチヨイ	気	
気持ち悪い	キモチワルイ	不嫌辛苦	
肝を潰す	キモヲツブス	驚	
肝を冷やす	キモヲヒヤス	驚怖	
きゃあ	キャア	驚怖	
キャッ	キャッ	驚	
気安い	キヤスイ	安	
窮屈	キュウクツ	不	
窮する	キュウスル	困悩苦	
杞憂	キユウ	ふ焦心	
驚異	キョウイ	驚	
恐悦	キョウエツ	感喜	
恭賀	キョウガ	祝	
驚愕	キョウガク	驚	
驚懼	キョウガク	驚	
興が醒める	キョウガサメル	不	
興がる	キョウガル	楽	
狂喜	キョウキ	喜	
驚喜	キョウキ	喜驚	
恟恟	キョウキョウ	怖	
恐懼	キョウク	恐	
恐慌	キョウコウ	怖焦	
