Word	Katakana	Emotion	
危険	キケン	怖	
機嫌好い	キゲンヨイ	気	
きざっぽい	キザッポイ	嫌	
気障り	キザワリ	嫌Ｆ	
キショい	キショイ	嫌Ｆ	
喜色	キショク	喜	
気色が悪い	キショクガワルイ	嫌Ｆ	
気色を害する	キショクヲガイスル	Ｆ	
気色を悪くする	キショクヲワルクスル	Ｆ	
傷痕	キズアト	苦	
気遣い	キズカイ	恐	
気遣う	キズカウ	恐	
気遣わしい	キズカワシイ	恐	
傷付く	キズツク	辛苦	
気忙しい	キゼワシイ	辛	
気忙しさ	キゼワシサ	辛	
汚い	キタナイ	嫌	
汚らしい	キタナラシイ	嫌	
狐に撮まれたよう	キツネニツママレタヨウ	驚	
気詰まり	キヅマリ	き	
気に入る	キニイル	興好	
気に食わない	キニクワナイ	嫌	
気に障る	キニサワル	Ｆ	
気になる	キニナル	悩	
気に入らない	キニハイラナイ	嫌	
気に病む	キニヤム	心	
気抜け	キヌケ	怠	
気の毒	キノドク	憐	
気恥ずかしい	キハズカシイ	恥	
気恥ずかしさ	キハズカシサ	恥	
厳しい	キビシイ	怖	
気塞ぎ	キフサギ	鬱	
気分が和む	キブンガナゴム	安穏	
気分が弾む	キブンガハズム	喜	
気まずい	キマズイ	き	
気まずさ	キマズサ	き	
きまりが悪い	キマリガワルイ	恥き	
気味が悪い	キミガワルイ	怖	
気味悪い	キミワルイ	怖	
気味悪さ	キミワルサ	Ｆ	
気持ちいい	キモチイイ	気	
気持ちが傷付けられる	キモチガキズツケラレル	苦	
気持ちが沈む	キモチガシズム	鬱	
気持ちが和む	キモチガナゴム	安穏	
気持ちが晴れる	キモチガハレル	気	
気持ちが晴れ渡る	キモチガハレワタル	気	
気持ちが好い	キモチガヨイ	気	
気持ちが悪くなる	キモチガワルクナル	辛	
気持ちの好いものではない	キモチノヨイモノデワナイ	Ｆ	
気持ちよい	キモチヨイ	気	
気持ち良い	キモチヨイ	気	
気持ち悪い	キモチワルイ	Ｆ	
肝を潰す	キモヲツブス	驚	
肝を冷やす	キモヲヒヤス	焦	
きゃあ	キャア	驚怖	
キャッ	キャッ	驚	
気安い	キヤスイ	安親	
窮屈	キュウクツ	Ｆ	
窮する	キュウスル	困苦	
杞憂	キユウ	心	
驚異	キョウイ	驚尊	
恐悦	キョウエツ	恐	
恭賀	キョウガ	祝	
驚愕	キョウガク	驚	
驚懼	キョウガク	驚	
興が醒める	キョウガサメル	失	
興がる	キョウガル	喜困	
狂喜	キョウキ	喜	
驚喜	キョウキ	喜驚	
恟恟	キョウキョウ	怖	
恐懼	キョウク	怖	
恐慌	キョウコウ	怖	
興醒め	キョウザメ	失	
興趣	キョウシュ	喜	
郷愁	キョウシュウ	切	
恐縮	キョウシュク	恐	
興じる	キョウジル	喜	
驚嘆	キョウタン	動驚	
驚天動地	キョウテンドウチ	驚	
驚倒	キョウトウ	驚	
恐怖	キョウフ	怖	
驚怖	キョウフ	驚怖	
恐怖感	キョウフカン	怖	
凶暴	キョウボウ	怖	
興味深い	キョウミブカイ	興	
享楽	キョウラク	楽	
狂恋	キョウレン	好興	
虚心坦懐	キョシンタンカイ	穏	
虚脱感	キョダツカン	鬱怠	
きょときょと	キョトキョト	不怖	
きょとんとする	キョトントスル	驚	
虚無	キョム	失	
嫌い	キライ	嫌	
嫌う	キラウ	嫌	
気楽	キラク	安楽穏	
気を腐らせる	キヲクサラセル	怠	
気を呑まれる	キヲノマレル	怖	
欣快	キンカイ	喜	
欣喜	キンキ	喜	
欣喜雀躍	キンキジャクヤク	喜	
欣欣	キンキン	喜	
欣幸	キンコウ	喜	
欣然	キンゼン	喜	
緊張	キンチョウ	緊	
緊張感	キンチョウカン	緊	
緊張がほどける	キンチョウガホドケル	穏	
緊迫	キンパク	焦緊	
欣慕	キンボ	喜	
欣躍	キンヤク	喜	
疑懼	ギク	怖	
